Station Destination	Latitude Destination	Longitude Destination
York	53.95910	-1.08150
Wolverhampton	52.58480	-2.12760
Warrington	53.38990	-2.59430
Wakefield	53.68260	-1.50000
Tamworth	52.63460	-1.69480
Swindon	52.51410	-2.20360
Stafford	52.80630	-2.11640
Sheffield	53.38070	-1.47020
Reading	51.45800	-0.96740
Peterborough	52.57390	-0.24170
Oxford	51.75220	-1.25830
Nuneaton	52.52460	-1.46840
Nottingham	52.95500	-1.15110
Manchester	53.47910	-2.24410
London Waterloo	51.505028	-0.115013
London St Pancras	51.53062434	-0.125527439
London Paddington	51.51645141	-0.176844743
London Kings Cross	51.5308842	-0.1229211342
London Euston	51.52837626	-0.134558479
Liverpool	53.40550	-2.98050
Leicester	52.63680	-1.13120
Leeds	53.79740	-1.54380
Edinburgh	55.94840	-3.19310
Durham	54.66670	-1.65000
Doncaster	53.52280	-1.13350
Didcot	51.60570	-1.24680
Crewe	53.09960	-2.44150
Coventry	52.40810	-1.51050
Cardiff	51.48170	-3.17920
Bristol	51.45350	-2.59740
Birmingham	52.47770	-1.89490
